slug,name,agency,type,url,status,last_updated,listing_deadline,deadline_raw,amount,eligibility,source_quality,source_domain,C1,C2,C3,C4,C5,total,note
long-island-aquaculture-infrastructure-grant,Long Island Aquaculture Infrastructure Grant Round 2,New York Department of Agriculture and Markets (NYDAM),Grant,https://ambrook.com/funding/long-island-aquaculture-infrastructure-grant,OK,2026-07-23,Closed Jan 5,"Closed January 5, 2026","$250,000 maximum",EXPLICIT,SPECIFIC,agriculture.ny.gov,3,3,3,3,3,15,
longleaf-pine-initiative,Longleaf Pine Initiative (LLPI),Natural Resources Conservation Service (NRCS),Grant,https://ambrook.com/funding/longleaf-pine-initiative,OK,2026-07-23,-,continuous basis,ABSENT,EXPLICIT,SPECIFIC,nrcs.usda.gov,3,3,3,1,3,13,no funding information
low-carbon-beef-usda-pilot-program,Low Carbon Technologies - Advancing Markets for Producers (AMP),Low Carbon Beef,Grant,https://ambrook.com/funding/low-carbon-beef-usda-pilot-program,OK,2026-07-23,Closed Jun 15,"Closed June 15, 2022","$10,000,000 total",PROSE,NONE,ABSENT,3,3,1,3,2,12,no source link; closed since 2022 yet page updated July 2026
mad-agriculture,Mad Agriculture Perennial Fund,Mad Agriculture,Loan,https://ambrook.com/funding/mad-agriculture,OK,2026-07-23,-,ABSENT,ABSENT,PROSE,NONE,ABSENT,3,2,1,1,2,9,no source link and no funding information
mad-capital,Mad Capital,Mad Agriculture,Loan,https://ambrook.com/funding/mad-capital,OK,2026-07-23,-,ABSENT,"$1,500,000",PROSE,GENERIC,madcapital.com,3,2,2,3,2,12,links only to lender homepage
main-street-capital-loan-fund,Main Street Capital Loan Fund,Pursuit Lending,Loan,https://ambrook.com/funding/main-street-capital-loan-fund,OK,2026-07-23,-,ABSENT,"$100,000",EXPLICIT,GENERIC,cirrussecure.com,3,2,2,3,3,13,only link is a third-party pre-application form
me-amlf,Maine Agricultural Marketing Loan Fund,"Maine Department of Agriculture, Conservation, and Forestry (ME DACF)",Loan,https://ambrook.com/funding/me-amlf,OK,2026-07-23,-,within 90 days,"$250,000",EXPLICIT,SPECIFIC,maine.gov,3,2,3,3,3,14,
me-dif,Maine Dairy Improvement Fund,"Maine Department of Agriculture, Conservation, and Forestry (ME DACF)",Loan,https://ambrook.com/funding/me-dif,OK,2026-07-23,-,within 90 days,"$250,000",EXPLICIT,SPECIFIC,famemaine.com,3,2,3,3,3,14,
me-potato-marketing-improvement,Maine Potato Marketing Improvement Fund,"Maine Department of Agriculture, Conservation, and Forestry (ME DACF)",Loan,https://ambrook.com/funding/me-potato-marketing-improvement,OK,2026-07-23,-,ABSENT,ABSENT,PROSE,SPECIFIC,famemaine.com,3,2,3,1,2,11,no funding information
mn-new-markets-cost-share,Make it Minnesota Cost-Share Program,Minnesota Department of Agriculture (MDA),Cost Share,https://ambrook.com/funding/mn-new-markets-cost-share,OK,2026-07-28,Closed Jun 30,"Closed June 30, 2026","$4,000 or $3,000",EXPLICIT,GENERIC,mda.state.mn.us,3,3,2,3,3,14,agency link is a generic grant guide
marbleseed-mentorship-program,Marbleseed Farmer-to-Farmer Mentorship Program,Marbleseed,Discount,https://ambrook.com/funding/marbleseed-mentorship-program,OK,2026-07-23,Closed Nov 15,"Closed November 15, 2025",ABSENT,EXPLICIT,GENERIC,salsalabs.org,3,3,2,1,3,12,no funding information
mal,Marketing Assistance Loans,Farm Service Agency (FSA),Loan,https://ambrook.com/funding/mal,OK,2026-07-23,-,"until January 31st, March 31st or May 31st",ABSENT,EXPLICIT,SPECIFIC,fsa.usda.gov,3,3,3,1,3,13,availability end dates given with no year
marketing-assistance-specialty-crops,Marketing Assistance for Specialty Crops,U.S. Department of Agriculture (USDA),Grant,https://ambrook.com/funding/marketing-assistance-specialty-crops,OK,2026-07-23,Closed Jan 10,"Closed January 10, 2025","$125,000 limitation",EXPLICIT,SPECIFIC,fsa.usda.gov,3,3,3,3,3,15,listing shows Closed Jan 10 with no year
muaclig,Maryland Urban Agriculture Commercial Lending Incentive Grant,MARBIDCO,Grant,https://ambrook.com/funding/muaclig,OK,2026-07-23,-,ABSENT,"$15,000 equipment $35,000 real property",EXPLICIT,SPECIFIC,marbidco.org,3,2,3,3,3,14,
aip,Massachusetts APR Improvement Program,Massachusetts Department of Agricultural Resources (MDAR),Grant,https://ambrook.com/funding/aip,OK,2026-07-23,Closed Apr 18,"Closed April 18, 2024","$60,000-$120,000 vs up to $150,000",EXPLICIT,SPECIFIC,mass.gov,3,3,3,3,3,15,page states two contradictory funding and match terms
ma-acre,Massachusetts Agricultural Climate Resiliency & Efficiencies Program,Massachusetts Department of Agricultural Resources (MDAR),Grant,https://ambrook.com/funding/ma-acre,OK,2026-08-03,Closed May 7,"Deadline May 7, 2026","80% up to $50,000",EXPLICIT,SPECIFIC,mass.gov,3,3,3,3,3,15,
ma-agricultural-energy-grant-program,Massachusetts Agricultural Energy Grant Program,Massachusetts Department of Agricultural Resources (MDAR),Grant,https://ambrook.com/funding/ma-agricultural-energy-grant-program,OK,2026-08-03,Closed May 7,"Closed May 7, 2026","80% up to $50,000",EXPLICIT,SPECIFIC,mass.gov,3,3,3,3,3,15,
ma-aeep,Massachusetts Agricultural Environmental Enhancement Program,Massachusetts Department of Agricultural Resources (MDAR),Grant,https://ambrook.com/funding/ma-aeep,OK,2026-08-03,Closed May 7,"Closed May 7, 2026","80% up to $50,000",EXPLICIT,SPECIFIC,mass.gov,3,1,3,3,3,13,body says Check back in early 2022 contradicting Closed May 7 2026
apsip,Massachusetts Agricultural Food Safety Improvement Program,Massachusetts Department of Agricultural Resources (MDAR),Grant,https://ambrook.com/funding/apsip,OK,2026-07-23,Closed Jun 18,"Closed December 31, 2024",ABSENT,EXPLICIT,GENERIC,nifa.usda.gov,3,3,2,1,3,12,page content is a different program than the listing
ma-agricultural-preservation-restriction-program,Massachusetts Agricultural Preservation Restriction Program,Massachusetts Department of Agricultural Resources (MDAR),Easement,https://ambrook.com/funding/ma-agricultural-preservation-restriction-program,OK,2026-07-23,-,rolling basis,ABSENT,EXPLICIT,SPECIFIC,mass.gov,3,3,3,2,3,14,cites the current deadline but no deadline shown
ma-csap,Massachusetts Climate Smart Agriculture Program,Massachusetts Department of Agricultural Resources (MDAR),Grant,https://ambrook.com/funding/ma-csap,OK,2026-07-10,Closed May 7,"Closed May 7, 2026","up to $50,000 per project area",EXPLICIT,SPECIFIC,mass.gov,3,3,3,3,3,15,
fvep,Massachusetts Farm Viability Enhancement Program,Massachusetts Department of Agricultural Resources (MDAR),Grant,https://ambrook.com/funding/fvep,OK,2026-07-23,Closed Jan 1,"Closed January 1, 2025","$175,000",EXPLICIT,SPECIFIC,mass.gov,3,3,3,3,3,15,"closed date is the 2025 cycle, no current cycle shown"
mfvp,Massachusetts Food Ventures Program,Massachusetts Department of Agricultural Resources (MDAR),Grant,https://ambrook.com/funding/mfvp,OK,2026-07-23,Closed May 28,"Deadline: May 28, 2026",ABSENT,EXPLICIT,GENERIC,commbuys.com,3,3,2,1,3,12,Release Date May 1 2025 vs Deadline May 28 2026 mismatch
ma-society-for-promoting-agriculture-grant,Massachusetts Society For Promoting Agriculture Grant,The Massachusetts Society for Promoting Agriculture (MSPA),Grant,https://ambrook.com/funding/ma-society-for-promoting-agriculture-grant,OK,2026-07-23,-,ABSENT,"$25,000",PROSE,SPECIFIC,promotingmassag.org,3,2,3,3,2,13,no deadline or window shown
mdar-urban-ag,Massachusetts Urban Agriculture Program,Massachusetts Department of Agricultural Resources (MDAR),Grant,https://ambrook.com/funding/mdar-urban-ag,OK,2026-07-23,Closed May 18,"Closed May 18, 2026","$100,000",EXPLICIT,GENERIC,commbuys.com,3,3,2,3,3,14,no mass.gov program link
mppep,Meat and Poultry Processing Expansion Program,Rural Development (RD),Grant,https://ambrook.com/funding/mppep,OK,2026-07-23,Due Aug 7,"Due August 7, 2026",$25 million or 20% of costs,EXPLICIT,SPECIFIC,rd.usda.gov,3,3,3,3,3,15,
the-michigan-climate-smart-farm-project,Michigan Conservation Stewardship for Farmers Project (MCSFP),Michigan Association of Conservation Districts,Grant,https://ambrook.com/funding/the-michigan-climate-smart-farm-project,OK,2026-07-23,-,Enrollment is open now,"$4,720,000 total",PROSE,SPECIFIC,macd.org,3,2,3,2,2,12,listing name differs from page name
mi-crosshatch-microloan,Michigan Crosshatch Microloan,Crosshatch Center for Art and Ecology,Loan,https://ambrook.com/funding/mi-crosshatch-microloan,OK,2026-07-23,Closed Feb 17,"Closed February 17, 2026","$500-$10,000",EXPLICIT,SPECIFIC,crosshatch.org,3,3,3,3,3,15,
mi-faip,Michigan Food and Agriculture Investment Program,Michigan Department of Agriculture and Rural Development (MDARD),Grant,https://ambrook.com/funding/mi-faip,OK,2026-07-23,-,ABSENT,ABSENT,EXPLICIT,SPECIFIC,michigan.gov,3,2,3,1,3,12,no deadline and no funding amount
mi-rural-dev,Michigan Rural Development Fund Grants,Michigan Department of Agriculture and Rural Development (MDARD),Grant,https://ambrook.com/funding/mi-rural-dev,OK,2026-07-23,Closed Dec 3,"Closed December 3, 2025","maximum $100,000",EXPLICIT,SPECIFIC,michigan.gov,3,3,3,3,3,15,
mi-valued-added-and-regional-food-systems-grants,"Michigan Underserved, Value-Added, Regional Food Systems, and Supply Chain Grant",Michigan Department of Agriculture and Rural Development (MDARD),Grant,https://ambrook.com/funding/mi-valued-added-and-regional-food-systems-grants,OK,2026-07-23,Closed Apr 15,"Closed April 15, 2026","maximum $100,000",EXPLICIT,SPECIFIC,michigan.gov,3,3,3,3,3,15,linked application form and guidelines are 2023 vintage
nm-micro-loan,Micro-Loan Program for New Mexico Farmers,New Mexico Farmers' Marketing Association (NMFMA),Loan,https://ambrook.com/funding/nm-micro-loan,OK,2026-07-23,-,ABSENT,"$3,000",EXPLICIT,SPECIFIC,newmexicofma.org,3,2,3,3,3,14,only source document is dated 2018
microloans,Microloan Programs,Farm Service Agency (FSA),Loan,https://ambrook.com/funding/microloans,OK,2026-07-10,-,ABSENT,"$50,000",EXPLICIT,SPECIFIC,fsa.usda.gov,3,2,3,3,3,14,no deadline or rolling statement
dairy-donation-program,Milk Donation Reimbursement Program,Agricultural Marketing Service (AMS),Grant,https://ambrook.com/funding/dairy-donation-program,OK,2026-07-23,-,rolling basis,$5 million per fiscal year,EXPLICIT,SPECIFIC,ams.usda.gov,3,3,3,2,3,14,duplicate of milk-donation-reimbursement-program
milk-donation-reimbursement-program,Milk Donation Reimbursement Program,Agricultural Marketing Service (AMS),Grant,https://ambrook.com/funding/milk-donation-reimbursement-program,OK,2026-07-23,-,rolling basis,$5 million per fiscal year,PROSE,SPECIFIC,ams.usda.gov,3,3,3,2,2,13,duplicate of dairy-donation-program
milklossassist,Milk Loss Program (MLP),U.S. Department of Agriculture (USDA),Grant,https://ambrook.com/funding/milklossassist,OK,2026-07-23,Closed Jan 23,"Closed January 23, 2026","$1,650,000",EXPLICIT,NONE,ABSENT,3,3,1,3,3,13,no outbound source link
mn-agri-livestock-investment,Minnesota AGRI Livestock Investment Grant,Minnesota Department of Agriculture (MDA),Grant,https://ambrook.com/funding/mn-agri-livestock-investment,OK,2026-07-23,Closed Nov 13,"Closed November 13, 2025","maximum $25,000 per fiscal year",EXPLICIT,SPECIFIC,mda.state.mn.us,3,3,3,3,3,15,
mn-sustainable-agriculture-demonstration-grant,Minnesota AGRI Sustainable Agriculture Demonstration Grant,Minnesota Department of Agriculture (MDA),Grant,https://ambrook.com/funding/mn-sustainable-agriculture-demonstration-grant,OK,2026-07-23,Closed Dec 17,"closed on December 17, 2025","up to $50,000 per project",EXPLICIT,NONE,ABSENT,3,3,1,3,3,13,no outbound source link
mn-agri-urban-agriculture-grant,Minnesota AGRI Urban Agriculture Grant,Minnesota Department of Agriculture (MDA),Grant,https://ambrook.com/funding/mn-agri-urban-agriculture-grant,OK,2026-07-23,Closed Feb 26,"Closed February 26, 2026","$75,000",EXPLICIT,SPECIFIC,mda.state.mn.us,3,3,3,3,3,15,
agri-value-added,Minnesota AGRI Value-Added Grant Program,Minnesota Department of Agriculture (MDA),Grant,https://ambrook.com/funding/agri-value-added,OK,2026-07-23,Closed Jun 17,"Closed June 17, 2026","maximum $150,000",PROSE,SPECIFIC,mda.state.mn.us,3,3,3,3,2,14,
mn-beginning-farmer-tax-credit,Minnesota Beginning Farmer Tax Credit,Minnesota Department of Agriculture (MDA),Discount,https://ambrook.com/funding/mn-beginning-farmer-tax-credit,OK,2026-07-23,Due Nov 1,"Due November 1, 2026","up to $50,000 sale credit",EXPLICIT,SPECIFIC,mda.state.mn.us,3,3,3,3,3,15,sub-deadline July 17 2026 already passed; linked forms 2022-2023
mn-dbpg,Minnesota Dairy Business Planning Grant,Minnesota Department of Agriculture (MDA),Grant,https://ambrook.com/funding/mn-dbpg,OK,2026-01-15,Due Jun 30,"Deadline June 30, 2026","50% up to $5,000",PROSE,NONE,ABSENT,3,1,1,3,2,10,Due date already passed but still shown as the deadline
mn-dpa,Minnesota Down Payment Assistance Grant Program,Minnesota Department of Agriculture (MDA),Grant,https://ambrook.com/funding/mn-dpa,OK,2026-07-23,Due Aug 31,"Due August 31, 2026","$20,000 per grant",EXPLICIT,SPECIFIC,mda.state.mn.us,3,1,3,3,3,13,header contradicts body window July 1 to July 31 2023
mn-mpmpg,"Minnesota Meat, Poultry, and Milk Processing Grant",Minnesota Department of Agriculture (MDA),Grant,https://ambrook.com/funding/mn-mpmpg,OK,2026-07-23,Closed Jun 17,"Closed June 17, 2026","maximum $150,000",EXPLICIT,SPECIFIC,mda.state.mn.us,3,3,3,3,3,15,
mn-nmi,Minnesota Nutrient Management Initiative,Minnesota Department of Agriculture (MDA),Grant,https://ambrook.com/funding/mn-nmi,OK,2026-07-23,Closed Mar 15,"Closed March 15, 2025","$1,500",EXPLICIT,SPECIFIC,mda.state.mn.us,3,1,3,3,3,13,status contradicts body saying deadline is March 15th each year
minnesota-rural-finance-authority-beginning-farmer-loan-program,Minnesota Rural Finance Authority Beginning Farmer Loan Program,Minnesota Rural Finance Authority,Loan,https://ambrook.com/funding/minnesota-rural-finance-authority-beginning-farmer-loan-program,OK,2026-07-23,-,ABSENT,"45% up to $500,000",EXPLICIT,SPECIFIC,mda.state.mn.us,3,2,3,3,3,14,
mn-scbgp,Minnesota Specialty Crop Block Grant Program,Minnesota Department of Agriculture (MDA),Grant,https://ambrook.com/funding/mn-scbgp,OK,2026-07-23,Closed Feb 11,"due 4 p.m. February 11, 2026","maximum $125,000",EXPLICIT,SPECIFIC,mda.state.mn.us,3,3,3,3,3,15,body still reads applications are due for a passed date
mn-wolf-prevention,Minnesota Wolf-Livestock Conflict Prevention Grants,Minnesota Department of Agriculture (MDA),Grant,https://ambrook.com/funding/mn-wolf-prevention,OK,2026-07-23,Closed Jan 3,"Closed January 3, 2025","$60,000",EXPLICIT,SPECIFIC,mda.state.mn.us,3,3,3,3,3,15,closed date is the Jan 2025 cycle
mississippi-river-basin-healthy-watersheds-initiative,Mississippi River Basin Healthy Watersheds Initiative (MRBI),Natural Resources Conservation Service (NRCS),Grant,https://ambrook.com/funding/mississippi-river-basin-healthy-watersheds-initiative,OK,2026-07-23,-,ABSENT,"$480,000,000 total",PROSE,SPECIFIC,nrcs.usda.gov,3,2,3,2,2,12,only NRCS link is an image-credit link
missouri-agricultural-and-small-business-development-authority-beginning-farmer-loan-program,Missouri Agricultural and Small Business Development Authority Beginning Farmer Loan Program,Missouri Department of Agriculture (MODA),Loan,https://ambrook.com/funding/missouri-agricultural-and-small-business-development-authority-beginning-farmer-loan-program,OK,2026-07-23,-,ABSENT,"$682,700",EXPLICIT,SPECIFIC,agriculture.mo.gov,3,2,3,3,3,14,
mo-urban-ag,Missouri Urban Agriculture Cost-Share Grant Program,Missouri Department of Agriculture (MODA),Grant,https://ambrook.com/funding/mo-urban-ag,OK,2026-07-23,Closed Sep 15,"Closed September 15, 2025","75% up to $10,000",EXPLICIT,SPECIFIC,agriculture.mo.gov,3,3,3,3,3,15,
monarch-butterfly-conservation,Monarch Butterfly Conservation,Natural Resources Conservation Service (NRCS),Grant,https://ambrook.com/funding/monarch-butterfly-conservation,OK,2026-07-23,-,accepted throughout the year,ABSENT,PROSE,SPECIFIC,nrcs.usda.gov,3,3,3,1,2,12,no funding information
w-monarch,Monarchs and More Western Habitat Program,The Monarch Joint Venture,Wildlife & Pollinator Habitat,https://ambrook.com/funding/w-monarch,OK,2026-07-23,Closed May 1,"Closed May 1, 2025",ABSENT,PROSE,GENERIC,mjv.nyc3.cdn.digitaloceanspaces.com,3,1,2,1,2,9,header contradicts body saying rolling basis; body says May 1st with no year
mn-dpap,Montana Down Payment Assistance Program,Montana Board of Investments,Loan,https://ambrook.com/funding/mn-dpap,OK,2026-07-23,-,ABSENT,"maximum loan $3,000,000",EXPLICIT,SPECIFIC,investmentmt.com,3,2,3,3,3,14,slug mn-dpap is a Montana program under a MN-style slug
montana-growth-through-agriculture-program,Montana Growth Through Agriculture Program,Montana Department of Agriculture (MDA),Grant,https://ambrook.com/funding/montana-growth-through-agriculture-program,OK,2026-07-23,Closed Feb 2,"February 2, 2026 full applications due","maximum $100,000",EXPLICIT,SPECIFIC,agr.mt.gov,3,3,3,3,3,15,duplicate of montana-gta with a different maximum
montana-gta,Montana Growth Through Agriculture Program,Montana Department of Agriculture (MDA),Grant,https://ambrook.com/funding/montana-gta,OK,2026-07-23,Closed Feb 2,"Closed February 2, 2026","maximum $150,000",EXPLICIT,SPECIFIC,agr.mt.gov,3,3,3,3,3,15,duplicate of montana-growth-through-agriculture-program with a different maximum
mt-junior-ag,Montana Junior Agriculture Loan Program,Montana Department of Agriculture (MDA),Loan,https://ambrook.com/funding/mt-junior-ag,OK,2026-07-23,-,ABSENT,"$8,500 ages 12-21",EXPLICIT,SPECIFIC,agr.mt.gov,3,2,3,3,3,14,no deadline or window shown
montana-nwtf,Montana Noxious Weed Trust Fund Grant Program,Montana Department of Agriculture (MDA),Grant,https://ambrook.com/funding/montana-nwtf,OK,2026-07-23,Opens Sep 1,"Opens September 1, 2026","up to $75,000 per project",PROSE,SPECIFIC,agr.mt.gov,3,3,3,3,2,14,linked due-dates PDF is 2020-2021
montana-pulse-marketing,Montana Pulse Crop Marketing,Montana Department of Agriculture (MDA),Marketing,https://ambrook.com/funding/montana-pulse-marketing,OK,2026-07-23,Closed Feb 16,RFP open Dec 12 2025 closes Feb 16 2026,ABSENT,PROSE,NONE,ABSENT,3,3,1,1,2,10,no outbound source link and no funding amount
mt-rural-assistance,Montana Rural Assistance Loans,Montana Department of Agriculture (MDA),Loan,https://ambrook.com/funding/mt-rural-assistance,OK,2026-07-23,-,ABSENT,"$75,000",EXPLICIT,SPECIFIC,agr.mt.gov,3,2,3,3,3,14,
mt-scbgp,Montana Specialty Crop Block Grant Program,Montana Department of Agriculture (MDA),Grant,https://ambrook.com/funding/mt-scbgp,OK,2026-07-23,Closed Feb 27,"Closed February 27, 2026",ABSENT,PROSE,SPECIFIC,agr.mt.gov,3,3,3,1,2,12,no funding amount
national-water-quality-initiative,National Water Quality Initiative (NWQI),Natural Resources Conservation Service (NRCS),Grant,https://ambrook.com/funding/national-water-quality-initiative,OK,2026-07-23,-,ABSENT,ABSENT,ABSENT,SPECIFIC,nrcs.usda.gov,3,2,3,1,1,10,no funding and no eligibility info
nafss,Native Agriculture & Food Systems Scholarship,First Nations Development Institute,Grant,https://ambrook.com/funding/nafss,OK,2026-07-23,Closed Jun 16,"Closed June 16, 2026","$1,500",EXPLICIT,SPECIFIC,firstnations.org,3,3,3,3,3,15,
natives-improved-grazing-carbon-program,Native's Improved Grazing Carbon Program,Native,Environmental Market,https://ambrook.com/funding/natives-improved-grazing-carbon-program,OK,2026-08-05,-,ABSENT,ABSENT,EXPLICIT,GENERIC,westernsustainabilityexchange.org,3,2,2,1,3,11,payment rates stated as not published
nifa,Nebraska Investment Finance Authority: Beginning Farmer and Rancher Program,Nebraska Investment Finance Authority (NIFA),Loan,https://ambrook.com/funding/nifa,OK,2026-07-23,-,ABSENT,"$552,500",EXPLICIT,SPECIFIC,nifa.org,3,2,3,3,3,14,
nevada-specialty-crop-block-grant-program,Nevada Specialty Crop Block Grant Program,Nevada Department of Agriculture (NDA),Grant,https://ambrook.com/funding/nevada-specialty-crop-block-grant-program,OK,2026-07-23,Closed Mar 31,"Closed March 31, 2026","$267,239 total",EXPLICIT,SPECIFIC,agri.nv.gov,3,1,3,3,3,13,status contradicts body citing Dec 2023 and Feb 2024 dates
new-england-climate-smart-forest-partnership-project,New England Climate-Smart Forest Partnership Project,New England Forestry Foundation,Grant,https://ambrook.com/funding/new-england-climate-smart-forest-partnership-project,OK,2025-09-20,-,"Closed June 7, 2024","$30,000,000 total",PROSE,NONE,ABSENT,3,3,1,3,2,12,no outbound source link
ny-dairy-promotion-research-grant,New York Dairy Promotion Order Research Grant,New York Department of Agriculture and Markets (NYDAM),Grant,https://ambrook.com/funding/ny-dairy-promotion-research-grant,OK,2026-08-03,Closed Aug 15,"Closed August 15, 2025","$16,000,000 total",PROSE,SPECIFIC,agriculture.ny.gov,3,3,3,3,2,14,no per-award maximum
ny-farm-viability-grant-program,New York Farm Viability Grant Program,New York Farm Viability Institute (NYFVI),Grant,https://ambrook.com/funding/ny-farm-viability-grant-program,OK,2026-07-23,Closed Oct 24,"Closed October 24, 2025","$125,000",EXPLICIT,SPECIFIC,nyfvi.org,3,1,3,3,3,13,status contradicts body saying proposals due Oct 24 2022
ny-farmland-protection-grants,New York Farmland Protection Implementation Grants,New York Department of Agriculture and Markets (NYDAM),Easement,https://ambrook.com/funding/ny-farmland-protection-grants,OK,2026-07-23,-,ABSENT,ABSENT,EXPLICIT,SPECIFIC,agriculture.ny.gov,3,2,3,1,3,12,only spring of even-numbered years; no funding amount
nys-shmg,New York Soil Health Mini-Grant,New York Soil Health,Grant,https://ambrook.com/funding/nys-shmg,OK,2026-07-23,Closed May 1,"Closed May 1, 2026","$2,500",EXPLICIT,SPECIFIC,newyorksoilhealth.org,3,3,3,3,3,15,
ny-historic-barn-rehabilitation-tax-credit,New York State Historic Barn Rehabilitation Tax Credit,"New York State Office of Parks, Recreation, and Historical Preservation",Cost Share,https://ambrook.com/funding/ny-historic-barn-rehabilitation-tax-credit,OK,2026-07-23,-,ABSENT,25% tax credit no cap,EXPLICIT,SPECIFIC,parks.ny.gov,3,2,3,2,3,13,percentage with no cap
NY-state-small-business-revolving-loan-fund,New York State Small Business Revolving Loan Fund Round 2,Empire State Development,Loan,https://ambrook.com/funding/NY-state-small-business-revolving-loan-fund,OK,2026-07-23,-,ABSENT,"$125,000",EXPLICIT,GENERIC,adirondackedc.org,3,2,2,3,3,13,no link to Empire State Development
new-york-states-urban-farms-and-community-gardens-grant-program,,,,https://ambrook.com/funding/new-york-states-urban-farms-and-community-gardens-grant-program,OK,2026-07-23,,"Closed September 5, 2025","$50,000",EXPLICIT,SPECIFIC,agriculture.ny.gov,3,3,3,3,3,15,
ny-wmgp,New York Watershed Micro Grants Program,New York City Watershed Agricultural Council,Grant,https://ambrook.com/funding/ny-wmgp,OK,2026-07-23,-,ABSENT,"$5,000",PROSE,SPECIFIC,nycwatershed.org,3,2,3,3,2,13,
ny-loan-forgiveness,New York Young Farmers Loan Forgiveness Incentive Program,New York Higher Education Services Corporation (NYHESC),Grant,https://ambrook.com/funding/ny-loan-forgiveness,OK,2026-07-23,Closed Jan 1,"Closed January 1, 2024","$50,000 lifetime",EXPLICIT,SPECIFIC,hesc.ny.gov,3,3,3,3,3,15,closed date is the 2024 cycle
nap,Noninsured Disaster Assistance Program (NAP),Farm Service Agency (FSA),Insurance,https://ambrook.com/funding/nap,OK,2026-07-23,-,crop-specific application closing date,"$125,000 per crop year",EXPLICIT,SPECIFIC,fsa.usda.gov,3,2,3,3,3,14,no actual closing dates shown
nc-agventures-grant-program,North Carolina AgVentures Grant Program,North Carolina Tobacco Trust Fund Commission,Grant,https://ambrook.com/funding/nc-agventures-grant-program,OK,2026-07-23,Opens Oct 15,"Opens October 15, 2026","$10,000",EXPLICIT,SPECIFIC,agventures.ces.ncsu.edu,3,3,3,3,3,15,
nc-sare-farmer-rancher,North Central SARE Farmer Rancher Grant,Sustainable Agriculture Research and Education (SARE),Grant,https://ambrook.com/funding/nc-sare-farmer-rancher,OK,2026-07-23,Closed Dec 1,"Closed December 1, 2023","$30,000",EXPLICIT,SPECIFIC,northcentral.sare.org,3,3,3,3,3,15,closed date is the 2023 cycle despite a 2026 update stamp
nc-sare-graduate-student,North Central SARE Graduate Student Grant,Sustainable Agriculture Research and Education (SARE),Grant,https://ambrook.com/funding/nc-sare-graduate-student,OK,2026-07-23,Closed May 18,"Closed May 18, 2025","$20,000",EXPLICIT,SPECIFIC,northcentral.sare.org,3,3,3,3,3,15,
nc-sare-partnership,North Central SARE Partnership Grant,Sustainable Agriculture Research and Education (SARE),Grant,https://ambrook.com/funding/nc-sare-partnership,OK,2026-07-23,Closed Oct 17,"Closed October 17, 2024","Up to $50,000",EXPLICIT,SPECIFIC,northcentral.sare.org,3,3,3,3,3,15,closed date is the 2024 cycle
nc-sare-professional-development,North Central SARE Professional Development Grant,Sustainable Agriculture Research and Education (SARE),Grant,https://ambrook.com/funding/nc-sare-professional-development,OK,2026-07-23,Closed Apr 2,"Closed April 2, 2026","$120,000",PROSE,SPECIFIC,northcentral.sare.org,3,3,3,3,2,14,
nc-sare-research-and-education,North Central SARE Research and Education Grant,Sustainable Agriculture Research and Education (SARE),Grant,https://ambrook.com/funding/nc-sare-research-and-education,OK,2026-07-23,Closed Dec 4,"Deadline: December 4, 2025","$250,000",EXPLICIT,SPECIFIC,northcentral.sare.org,3,3,3,3,3,15,
nc-sare-youth-educator,North Central SARE Youth Educator Grant,Sustainable Agriculture Research and Education (SARE),Grant,https://ambrook.com/funding/nc-sare-youth-educator,OK,2026-07-23,Closed Feb 12,"Deadline: February 12, 2026","Up to $6,000",PROSE,SPECIFIC,northcentral.sare.org,3,3,3,3,2,14,eligibility offloaded to an external quiz
nd-addf,North Dakota Agriculture Diversification and Development Fund,Bank of North Dakota (BND),"Grant, Loan",https://ambrook.com/funding/nd-addf,OK,2026-07-23,-,ABSENT,"$250,000",PROSE,SPECIFIC,bnd.nd.gov,3,2,3,3,2,13,
north-dakota-organic-certification-cost-share-program,North Dakota Organic Certification Cost Share Program,North Dakota Department of Agriculture (NDDA),Cost Share,https://ambrook.com/funding/north-dakota-organic-certification-cost-share-program,OK,2026-07-28,Closed Nov 15,"Closed November 15, 2024",75% max $750,EXPLICIT,SPECIFIC,ndda.nd.gov,3,1,3,3,3,13,status contradicts body saying postmarked no later than Oct 30 2023
north-dakota-organic-education-and-transition-cost-share-program,North Dakota Organic Education and Transition Cost Share Program,North Dakota Department of Agriculture (NDDA),Cost Share,https://ambrook.com/funding/north-dakota-organic-education-and-transition-cost-share-program,OK,2026-07-28,-,ABSENT,75% up to $750,EXPLICIT,SPECIFIC,ndda.nd.gov,3,2,3,3,3,14,
nd-soil-health-cover-crop-grant-program,North Dakota Soil Health Cover Crop Grant Program,North Dakota Department of Agriculture (NDDA),Cost Share,https://ambrook.com/funding/nd-soil-health-cover-crop-grant-program,OK,2026-07-28,-,Sept 15 / Dec 1 / Aug 31 / Oct 1,$25/acre 160 acre cap,EXPLICIT,GENERIC,portalapps.nd.gov,3,1,2,3,3,12,four deadlines have no year and conflict with each other
northeast-agenhancement-grants,Northeast AgEnhancement Grant,Farm Credit East,Grant,https://ambrook.com/funding/northeast-agenhancement-grants,OK,2026-07-23,-,"April 1, August 1, December 1","$10,000",EXPLICIT,SPECIFIC,farmcrediteast.com,3,3,3,3,3,15,
